benchmark,reward,walltime,commandline
benchmark://cbench-v1/stringsearch,0.9139344262295083,0.03969430923461914,opt -mem2reg -newgvn -jump-threading -simplifycfg -instcombine -gvn-hoist -loop-versioning -instsimplify -early-cse-memssa -sroa -gvn -break-crit-edges input.bc -o output.bc
benchmark://cbench-v1/stringsearch,0.9139344262295083,0.039147377014160156,opt -mem2reg -newgvn -jump-threading -simplifycfg -instcombine -gvn-hoist -loop-versioning -instsimplify -early-cse-memssa -sroa -gvn -break-crit-edges input.bc -o output.bc
benchmark://cbench-v1/stringsearch,0.9139344262295083,0.03920912742614746,opt -mem2reg -newgvn -jump-threading -simplifycfg -instcombine -gvn-hoist -loop-versioning -instsimplify -early-cse-memssa -sroa -gvn -break-crit-edges input.bc -o output.bc
benchmark://cbench-v1/stringsearch,0.9139344262295083,0.03880739212036133,opt -mem2reg -newgvn -jump-threading -simplifycfg -instcombine -gvn-hoist -loop-versioning -instsimplify -early-cse-memssa -sroa -gvn -break-crit-edges input.bc -o output.bc
benchmark://cbench-v1/stringsearch,0.9139344262295083,0.0406796932220459,opt -mem2reg -newgvn -jump-threading -simplifycfg -instcombine -gvn-hoist -loop-versioning -instsimplify -early-cse-memssa -sroa -gvn -break-crit-edges input.bc -o output.bc
benchmark://cbench-v1/stringsearch,0.9139344262295083,0.039713144302368164,opt -mem2reg -newgvn -jump-threading -simplifycfg -instcombine -gvn-hoist -loop-versioning -instsimplify -early-cse-memssa -sroa -gvn -break-crit-edges input.bc -o output.bc
benchmark://cbench-v1/stringsearch2,0.9253731343283582,0.03313875198364258,opt -mem2reg -newgvn -simplifycfg -instcombine -gvn-hoist -loop-versioning -early-cse-memssa -gvn -sroa -instsimplify -jump-threading -loop-reduce input.bc -o output.bc
benchmark://cbench-v1/stringsearch2,0.9253731343283582,0.031995296478271484,opt -mem2reg -newgvn -simplifycfg -instcombine -gvn-hoist -loop-versioning -early-cse-memssa -gvn -sroa -instsimplify -jump-threading -loop-reduce input.bc -o output.bc
benchmark://cbench-v1/stringsearch2,0.9253731343283582,0.03255820274353027,opt -mem2reg -newgvn -simplifycfg -instcombine -gvn-hoist -loop-versioning -early-cse-memssa -gvn -sroa -instsimplify -jump-threading -loop-reduce input.bc -o output.bc
benchmark://cbench-v1/stringsearch2,0.9253731343283582,0.03313112258911133,opt -mem2reg -newgvn -simplifycfg -instcombine -gvn-hoist -loop-versioning -early-cse-memssa -gvn -sroa -instsimplify -jump-threading -loop-reduce input.bc -o output.bc
benchmark://cbench-v1/stringsearch2,0.9253731343283582,0.03336930274963379,opt -mem2reg -newgvn -simplifycfg -instcombine -gvn-hoist -loop-versioning -early-cse-memssa -gvn -sroa -instsimplify -jump-threading -loop-reduce input.bc -o output.bc
benchmark://cbench-v1/stringsearch2,0.9253731343283582,0.031685829162597656,opt -mem2reg -newgvn -simplifycfg -instcombine -gvn-hoist -loop-versioning -early-cse-memssa -gvn -sroa -instsimplify -jump-threading -loop-reduce input.bc -o output.bc
benchmark://cbench-v1/stringsearch2,0.9253731343283582,0.031569719314575195,opt -mem2reg -newgvn -simplifycfg -instcombine -gvn-hoist -loop-versioning -early-cse-memssa -gvn -sroa -instsimplify -jump-threading -loop-reduce input.bc -o output.bc
benchmark://cbench-v1/stringsearch2,0.9253731343283582,0.032945871353149414,opt -mem2reg -newgvn -simplifycfg -instcombine -gvn-hoist -loop-versioning -early-cse-memssa -gvn -sroa -instsimplify -jump-threading -loop-reduce input.bc -o output.bc
benchmark://cbench-v1/stringsearch2,0.9253731343283582,0.032798051834106445,opt -mem2reg -newgvn -simplifycfg -instcombine -gvn-hoist -loop-versioning -early-cse-memssa -gvn -sroa -instsimplify -jump-threading -loop-reduce input.bc -o output.bc
benchmark://cbench-v1/stringsearch2,0.9253731343283582,0.0329747200012207,opt -mem2reg -newgvn -simplifycfg -instcombine -gvn-hoist -loop-versioning -early-cse-memssa -gvn -sroa -instsimplify -jump-threading -loop-reduce input.bc -o output.bc
benchmark://cbench-v1/susan,0.9594317890964935,0.17331671714782715,opt -sroa -newgvn -simplifycfg -instcombine -mem2reg -early-cse-memssa -instsimplify -jump-threading -gvn-hoist -loop-versioning -break-crit-edges -gvn input.bc -o output.bc
benchmark://cbench-v1/susan,0.9594317890964935,0.16773557662963867,opt -sroa -newgvn -simplifycfg -instcombine -mem2reg -early-cse-memssa -instsimplify -jump-threading -gvn-hoist -loop-versioning -break-crit-edges -gvn input.bc -o output.bc
benchmark://cbench-v1/susan,0.9594317890964935,0.1647334098815918,opt -sroa -newgvn -simplifycfg -instcombine -mem2reg -early-cse-memssa -instsimplify -jump-threading -gvn-hoist -loop-versioning -break-crit-edges -gvn input.bc -o output.bc
benchmark://cbench-v1/susan,0.9594317890964935,0.17202115058898926,opt -sroa -newgvn -simplifycfg -instcombine -mem2reg -early-cse-memssa -instsimplify -jump-threading -gvn-hoist -loop-versioning -break-crit-edges -gvn input.bc -o output.bc
benchmark://cbench-v1/susan,0.9594317890964935,0.16324353218078613,opt -sroa -newgvn -simplifycfg -instcombine -mem2reg -early-cse-memssa -instsimplify -jump-threading -gvn-hoist -loop-versioning -break-crit-edges -gvn input.bc -o output.bc
benchmark://cbench-v1/susan,0.9594317890964935,0.1661701202392578,opt -sroa -newgvn -simplifycfg -instcombine -mem2reg -early-cse-memssa -instsimplify -jump-threading -gvn-hoist -loop-versioning -break-crit-edges -gvn input.bc -o output.bc
benchmark://cbench-v1/susan,0.9594317890964935,0.16640591621398926,opt -sroa -newgvn -simplifycfg -instcombine -mem2reg -early-cse-memssa -instsimplify -jump-threading -gvn-hoist -loop-versioning -break-crit-edges -gvn input.bc -o output.bc
benchmark://cbench-v1/susan,0.9594317890964935,0.16591644287109375,opt -sroa -newgvn -simplifycfg -instcombine -mem2reg -early-cse-memssa -instsimplify -jump-threading -gvn-hoist -loop-versioning -break-crit-edges -gvn input.bc -o output.bc
benchmark://cbench-v1/susan,0.9594317890964935,0.1700904369354248,opt -sroa -newgvn -simplifycfg -instcombine -mem2reg -early-cse-memssa -instsimplify -jump-threading -gvn-hoist -loop-versioning -break-crit-edges -gvn input.bc -o output.bc
benchmark://cbench-v1/susan,0.9594317890964935,0.17098188400268555,opt -sroa -newgvn -simplifycfg -instcombine -mem2reg -early-cse-memssa -instsimplify -jump-threading -gvn-hoist -loop-versioning -break-crit-edges -gvn input.bc -o output.bc
benchmark://cbench-v1/tiff2bw,0.9745692897310073,0.5679318904876709,opt -mem2reg -newgvn -simplifycfg -instcombine -early-cse-memssa -gvn-hoist -instsimplify -jump-threading -loop-versioning -sroa -gvn -break-crit-edges input.bc -o output.bc
benchmark://cbench-v1/tiff2bw,0.9745692897310073,0.5264737606048584,opt -mem2reg -newgvn -simplifycfg -instcombine -early-cse-memssa -gvn-hoist -instsimplify -jump-threading -loop-versioning -sroa -gvn -break-crit-edges input.bc -o output.bc
benchmark://cbench-v1/tiff2bw,0.9745692897310073,0.5372920036315918,opt -mem2reg -newgvn -simplifycfg -instcombine -early-cse-memssa -gvn-hoist -instsimplify -jump-threading -loop-versioning -sroa -gvn -break-crit-edges input.bc -o output.bc
benchmark://cbench-v1/tiff2bw,0.9745692897310073,0.5255641937255859,opt -mem2reg -newgvn -simplifycfg -instcombine -early-cse-memssa -gvn-hoist -instsimplify -jump-threading -loop-versioning -sroa -gvn -break-crit-edges input.bc -o output.bc
benchmark://cbench-v1/tiff2bw,0.9745692897310073,0.5403380393981934,opt -mem2reg -newgvn -simplifycfg -instcombine -early-cse-memssa -gvn-hoist -instsimplify -jump-threading -loop-versioning -sroa -gvn -break-crit-edges input.bc -o output.bc
benchmark://cbench-v1/tiff2bw,0.9745692897310073,0.5405700206756592,opt -mem2reg -newgvn -simplifycfg -instcombine -early-cse-memssa -gvn-hoist -instsimplify -jump-threading -loop-versioning -sroa -gvn -break-crit-edges input.bc -o output.bc
benchmark://cbench-v1/tiff2bw,0.9745692897310073,0.5246453285217285,opt -mem2reg -newgvn -simplifycfg -instcombine -early-cse-memssa -gvn-hoist -instsimplify -jump-threading -loop-versioning -sroa -gvn -break-crit-edges input.bc -o output.bc
benchmark://cbench-v1/tiff2bw,0.9745692897310073,0.5377535820007324,opt -mem2reg -newgvn -simplifycfg -instcombine -early-cse-memssa -gvn-hoist -instsimplify -jump-threading -loop-versioning -sroa -gvn -break-crit-edges input.bc -o output.bc
benchmark://cbench-v1/tiff2bw,0.9745692897310073,0.5322661399841309,opt -mem2reg -newgvn -simplifycfg -instcombine -early-cse-memssa -gvn-hoist -instsimplify -jump-threading -loop-versioning -sroa -gvn -break-crit-edges input.bc -o output.bc
