benchmark,reward,walltime,commandline
benchmark://cbench-v1/ghostscript,0.9528503116503922,4.140521049499512,opt -sroa -simplifycfg -instcombine -jump-threading -newgvn -loop-rotate -instsimplify -mem2reg -early-cse-memssa -gvn -loop-versioning -gvn-hoist input.bc -o output.bc
benchmark://cbench-v1/gsm,0.9777141434262949,0.16444110870361328,opt -newgvn -gvn-hoist -early-cse-memssa -instsimplify -mem2reg -loop-versioning -sroa -gvn -instcombine -simplifycfg -jump-threading -loop-rotate input.bc -o output.bc
benchmark://cbench-v1/gsm,0.9777141434262949,0.16386795043945312,opt -newgvn -gvn-hoist -early-cse-memssa -instsimplify -mem2reg -loop-versioning -sroa -gvn -instcombine -simplifycfg -jump-threading -loop-rotate input.bc -o output.bc
benchmark://cbench-v1/gsm,0.9777141434262949,0.1594696044921875,opt -newgvn -gvn-hoist -early-cse-memssa -instsimplify -mem2reg -loop-versioning -sroa -gvn -instcombine -simplifycfg -jump-threading -loop-rotate input.bc -o output.bc
benchmark://cbench-v1/gsm,0.9777141434262949,0.16403889656066895,opt -newgvn -gvn-hoist -early-cse-memssa -instsimplify -mem2reg -loop-versioning -sroa -gvn -instcombine -simplifycfg -jump-threading -loop-rotate input.bc -o output.bc
benchmark://cbench-v1/gsm,0.9777141434262949,0.1617898941040039,opt -newgvn -gvn-hoist -early-cse-memssa -instsimplify -mem2reg -loop-versioning -sroa -gvn -instcombine -simplifycfg -jump-threading -loop-rotate input.bc -o output.bc
benchmark://cbench-v1/gsm,0.9777141434262949,0.16016745567321777,opt -newgvn -gvn-hoist -early-cse-memssa -instsimplify -mem2reg -loop-versioning -sroa -gvn -instcombine -simplifycfg -jump-threading -loop-rotate input.bc -o output.bc
benchmark://cbench-v1/gsm,0.9777141434262949,0.16276788711547852,opt -newgvn -gvn-hoist -early-cse-memssa -instsimplify -mem2reg -loop-versioning -sroa -gvn -instcombine -simplifycfg -jump-threading -loop-rotate input.bc -o output.bc
benchmark://cbench-v1/gsm,0.9777141434262949,0.1602771282196045,opt -newgvn -gvn-hoist -early-cse-memssa -instsimplify -mem2reg -loop-versioning -sroa -gvn -instcombine -simplifycfg -jump-threading -loop-rotate input.bc -o output.bc
benchmark://cbench-v1/gsm,0.9777141434262949,0.16696572303771973,opt -newgvn -gvn-hoist -early-cse-memssa -instsimplify -mem2reg -loop-versioning -sroa -gvn -instcombine -simplifycfg -jump-threading -loop-rotate input.bc -o output.bc
benchmark://cbench-v1/gsm,0.9777141434262949,0.16040825843811035,opt -newgvn -gvn-hoist -early-cse-memssa -instsimplify -mem2reg -loop-versioning -sroa -gvn -instcombine -simplifycfg -jump-threading -loop-rotate input.bc -o output.bc
