episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,7,70,70,False,0,1,225a059934974d4aa7ad52c37df231e5,2021-08-20_13-05-39,1629482739,37.6010377407074,37.6010377407074,26022,pootrick,192.168.0.74,37.6010377407074,0,1,1bd96_00000,[],[],36314.438,1.928,1250.941,55.958,1.945,70,70,70,27.251851851851853,83.06666666666668,0.0,0.2,0.0001,inf,0.017087126150727272,88.10450333915651,0.99362624,inf,1.3154686838388443,0.0
0.002793296089385475,-0.5277250832670403,-0.21228320284736912,2.5348837209302326,43,7,140,140,False,43,2,225a059934974d4aa7ad52c37df231e5,2021-08-20_13-06-42,1629482802,62.40227007865906,100.00330781936646,26022,pootrick,192.168.0.74,100.00330781936646,0,2,1bd96_00000,"[-0.3964885825075399, -0.06967213114754098, -0.3964885825075399, 0.0, -0.29592066711742165, -0.391472029988466, -0.3964885825075399, -0.37504744553252867, 0.0, -0.3897704072495433, -0.3964885825075399, -0.5277250832670403, -0.04982752012265236, -0.0035833120040952137, -0.29592066711742165, 0.0, -0.27040816326530615, -0.06967213114754098, 0.0, -0.5194933145672063, -0.13184760956175298, -0.13184760956175298, 0.0, -0.5277250832670403, -0.3897704072495433, -0.3964885825075399, -0.0035833120040952137, -0.372220894095147, -0.2525027808676307, 0.002793296089385475, -0.0035833120040952137, 0.0, 0.0, -0.29592066711742165, 0.0, -0.37504744553252867, 0.0, 0.0, 0.0, -0.372220894095147, -0.391472029988466, -0.2525027808676307, -0.3897704072495433]","[11, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 17, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1]",48693.09,1.438,1279.581,54.705,1.969,140,140,140,33.66516853932584,87.19662921348313,0.0,0.30000000000000004,0.0001,inf,-0.08986327145248652,1419.4327030181885,-1.0,inf,2.515519917011261,0.0
0.3125,-0.8528428093645485,-0.20717519196720277,2.2535211267605635,28,7,210,210,False,71,3,225a059934974d4aa7ad52c37df231e5,2021-08-20_13-06-56,1629482816,13.882437705993652,113.88574552536011,26022,pootrick,192.168.0.74,113.88574552536011,0,3,1bd96_00000,"[-0.3964885825075399, -0.06967213114754098, -0.3964885825075399, 0.0, -0.29592066711742165, -0.391472029988466, -0.3964885825075399, -0.37504744553252867, 0.0, -0.3897704072495433, -0.3964885825075399, -0.5277250832670403, -0.04982752012265236, -0.0035833120040952137, -0.29592066711742165, 0.0, -0.27040816326530615, -0.06967213114754098, 0.0, -0.5194933145672063, -0.13184760956175298, -0.13184760956175298, 0.0, -0.5277250832670403, -0.3897704072495433, -0.3964885825075399, -0.0035833120040952137, -0.372220894095147, -0.2525027808676307, 0.002793296089385475, -0.0035833120040952137, 0.0, 0.0, -0.29592066711742165, 0.0, -0.37504744553252867, 0.0, 0.0, 0.0, -0.372220894095147, -0.391472029988466, -0.2525027808676307, -0.3897704072495433, -0.2525027808676307, -0.6161537259803156, -0.13184760956175298, 0.0, -0.3897704072495433, 0.0, 0.0, 0.0, -0.6161537259803156, -0.04982752012265236, 0.0, 0.3125, 0.0, -0.2525027808676307, -0.372220894095147, -0.3101032334067024, -0.2462686567164179, 0.0, -0.3101032334067024, -0.4289936664320901, -0.3897704072495433, -0.37504744553252867, -0.29592066711742165, -0.8528428093645485, 0.0, 0.0, -0.0037313432835820895, 0.0]","[11, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 17, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",36658.418,1.91,1280.973,54.646,2.015,210,210,210,24.245,88.37499999999997,0.0,0.45000000000000007,0.0001,inf,-0.04430946009233594,0.09370181569829583,-0.43389532,inf,3.2252305150032043,0.0
0.3125,-0.8528428093645485,-0.19935348204064435,2.0853658536585367,11,7,280,280,False,82,4,225a059934974d4aa7ad52c37df231e5,2021-08-20_13-07-01,1629482821,4.971392869949341,118.85713839530945,26022,pootrick,192.168.0.74,118.85713839530945,0,4,1bd96_00000,"[-0.3964885825075399, -0.06967213114754098, -0.3964885825075399, 0.0, -0.29592066711742165, -0.391472029988466, -0.3964885825075399, -0.37504744553252867, 0.0, -0.3897704072495433, -0.3964885825075399, -0.5277250832670403, -0.04982752012265236, -0.0035833120040952137, -0.29592066711742165, 0.0, -0.27040816326530615, -0.06967213114754098, 0.0, -0.5194933145672063, -0.13184760956175298, -0.13184760956175298, 0.0, -0.5277250832670403, -0.3897704072495433, -0.3964885825075399, -0.0035833120040952137, -0.372220894095147, -0.2525027808676307, 0.002793296089385475, -0.0035833120040952137, 0.0, 0.0, -0.29592066711742165, 0.0, -0.37504744553252867, 0.0, 0.0, 0.0, -0.372220894095147, -0.391472029988466, -0.2525027808676307, -0.3897704072495433, -0.2525027808676307, -0.6161537259803156, -0.13184760956175298, 0.0, -0.3897704072495433, 0.0, 0.0, 0.0, -0.6161537259803156, -0.04982752012265236, 0.0, 0.3125, 0.0, -0.2525027808676307, -0.372220894095147, -0.3101032334067024, -0.2462686567164179, 0.0, -0.3101032334067024, -0.4289936664320901, -0.3897704072495433, -0.37504744553252867, -0.29592066711742165, -0.8528428093645485, 0.0, 0.0, -0.0037313432835820895, 0.0, -0.13184760956175298, -0.391472029988466, 0.0, -0.372220894095147, -0.06967213114754098, 0.0, -0.37504744553252867, 0.0, 0.0, -0.001366120218579235, -0.29592066711742165]","[11, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 17, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",28430.011,2.462,1265.012,55.335,2.035,280,280,280,16.642857142857142,88.64285714285714,0.0,0.675,0.0001,inf,-0.10680107492953539,0.05420407699421048,0.34735608,inf,3.7775810956954956,0.0
0.3125,-0.8528428093645485,-0.2043427943326381,2.5257731958762886,15,7,350,350,False,97,5,225a059934974d4aa7ad52c37df231e5,2021-08-20_13-07-40,1629482860,38.955345153808594,157.81248354911804,26022,pootrick,192.168.0.74,157.81248354911804,0,5,1bd96_00000,"[-0.3964885825075399, -0.06967213114754098, -0.3964885825075399, 0.0, -0.29592066711742165, -0.391472029988466, -0.3964885825075399, -0.37504744553252867, 0.0, -0.3897704072495433, -0.3964885825075399, -0.5277250832670403, -0.04982752012265236, -0.0035833120040952137, -0.29592066711742165, 0.0, -0.27040816326530615, -0.06967213114754098, 0.0, -0.5194933145672063, -0.13184760956175298, -0.13184760956175298, 0.0, -0.5277250832670403, -0.3897704072495433, -0.3964885825075399, -0.0035833120040952137, -0.372220894095147, -0.2525027808676307, 0.002793296089385475, -0.0035833120040952137, 0.0, 0.0, -0.29592066711742165, 0.0, -0.37504744553252867, 0.0, 0.0, 0.0, -0.372220894095147, -0.391472029988466, -0.2525027808676307, -0.3897704072495433, -0.2525027808676307, -0.6161537259803156, -0.13184760956175298, 0.0, -0.3897704072495433, 0.0, 0.0, 0.0, -0.6161537259803156, -0.04982752012265236, 0.0, 0.3125, 0.0, -0.2525027808676307, -0.372220894095147, -0.3101032334067024, -0.2462686567164179, 0.0, -0.3101032334067024, -0.4289936664320901, -0.3897704072495433, -0.37504744553252867, -0.29592066711742165, -0.8528428093645485, 0.0, 0.0, -0.0037313432835820895, 0.0, -0.13184760956175298, -0.391472029988466, 0.0, -0.372220894095147, -0.06967213114754098, 0.0, -0.37504744553252867, 0.0, 0.0, -0.001366120218579235, -0.29592066711742165, 0.04189944134078212, 0.0, -0.5277250832670403, 0.0, -0.0035833120040952137, 0.0, -0.6161537259803156, -0.4396284829721363, -0.0035833120040952137, -0.6161537259803156, -0.004424778761061947, -0.6161537259803156, -0.391472029988466, -0.29592066711742165, -0.001366120218579235]","[11, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 17, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 32, 1, 1, 1, 1, 1, 1, 29, 1, 1, 1, 1, 1, 1, 1]",30292.316,2.311,1247.458,56.114,2.049,350,350,350,18.28392857142857,89.45714285714287,0.0,1.0125000000000002,0.0001,inf,-0.04468715377151966,0.06422909232787788,-0.062550545,inf,3.7343236804008484,0.0
